,Movie_Name,Year_of_Release,C_Rating,Watch_Time_(min),Genre,Movie_Rating,Metascore,Votes,Gross_($M),Description
584,Nine Queens,(2000),R,114 min,"Crime, Drama, Thriller            ",7.9,80        ,"54,692",$1.22M,"Two con artists try to swindle a stamp collector by selling him a sheet of counterfeit rare stamps (the ""nine queens"")."
585,The Big Heat,(1953),Passed,89 min,"Crime, Film-Noir, Thriller            ",7.9,,"27,687",,Tough cop Dave Bannion takes on a politically powerful crime syndicate.
586,Jab We Met,(2007),Not Rated,138 min,"Comedy, Drama, Romance            ",7.9,,"55,562",$0.41M,A depressed wealthy businessman finds his life changing after he meets a spunky and care-free young woman.
587,The Rules of the Game,(1939),Not Rated,110 min,"Comedy, Drama            ",7.9,99        ,"30,112",,"A bourgeois life in France at the onset of World War II, as the rich and their poor servants meet up at a French chateau."
588,Hiroshima Mon Amour,(1959),Not Rated,90 min,"Drama, Romance            ",7.9,,"33,884",$0.09M,A French actress filming an anti-war film in Hiroshima has an affair with a married Japanese architect as they share their differing perspectives on war.
589,The Return,(2003),Not Rated,110 min,Drama            ,7.9,82        ,"46,362",$0.50M,"In the Russian wilderness, two brothers face a range of new, conflicting emotions when their father - a man they know only through a single photograph - resurfaces."
590,No Man's Land,(I) (2001),R,98 min,"Comedy, Drama, War            ",7.9,84        ,"47,892",$1.06M,"Bosnia and Herzegovina during 1993 at the time of the heaviest fighting between the two warring sides. Two soldiers from opposing sides in the conflict, Nino and Ciki, become trapped in no man's land, whilst a third soldier becomes a living booby trap."
591,M.S. Dhoni: The Untold Story,(2016),Not Rated,184 min,"Biography, Drama, Sport            ",7.9,,"62,782",$1.78M,The untold story of Mahendra Singh Dhoni's journey from ticket collector to trophy collector - the world-cup-winning captain of the Indian Cricket Team.
592,Through a Glass Darkly,(1961),Not Rated,90 min,Drama            ,7.9,84        ,"26,288",,"Recently released from a mental hospital, Karin rejoins her emotionally disconnected family in their island home, only to slip from reality as she begins to believe she is being visited by God."
593,Dev.D,(2009),Not Rated,144 min,"Comedy, Drama, Romance            ",7.9,,"31,338",$0.01M,"After breaking up with his childhood sweetheart, a young man finds solace in drugs. Meanwhile, a teenage girl is caught in the world of prostitution. Will they be destroyed, or will they find redemption?"
594,C.R.A.Z.Y.,(2005),Not Rated,129 min,"Comedy, Drama            ",7.9,81        ,"33,444",,"A young French Canadian, one of five boys in a conservative family in the 1960s and 1970s, struggles to reconcile his emerging identity with his father's values."
595,Beauty and the Beast,(1946),Not Rated,93 min,"Drama, Fantasy, Romance            ",7.9,92        ,"27,195",$0.30M,"A beautiful young woman takes her father's place as the prisoner of a mysterious beast, who wishes to marry her."
596,Badhaai Ho,(2018),Not Rated,124 min,"Comedy, Drama            ",7.9,,"35,929",,A man is embarrassed when he finds out his mother is pregnant.
597,Pad Man,(2018),PG-13,140 min,"Comedy, Drama            ",7.9,,"27,208",$1.66M,"Upon realizing the extent to which women are affected by their menses, a man sets out to create a sanitary pad machine and to provide inexpensive sanitary pads to the women of rural India."
598,Baby,(I) (2015),Not Rated,159 min,"Action, Crime, Thriller            ",7.9,,"58,768",,"An elite counter-intelligence unit learns of a plot, masterminded by a maniacal madman. With the clock ticking, it's up to them to track the terrorists' international tentacles and prevent them from striking at the heart of India."
599,Airlift,(2016),Not Rated,130 min,"Action, Drama, History            ",7.9,,"57,810",,"When Iraq invades Kuwait in August 1990, a callous Indian businessman becomes the spokesperson for more than 170,000 stranded countrymen."
600,The Batman,(2022),PG-13,176 min,"Action, Crime, Drama            ",7.8,72        ,"697,469",$369.35M,"When a sadistic serial killer begins murdering key political figures in Gotham, Batman is forced to investigate the city's hidden corruption and question his family's involvement."
