,Movie Name,Year of Release,Watch Time,Movie Rating,Meatscore of movie,Votes,Gross,Description
201,Dersu Uzala,(1975),142 min,8.2,****,"31,709",#250,The Russian army sends an explorer on an expedition to the snowy Siberian wilderness where he makes friends with a seasoned local hunter.
202,Cha Và Con Của Tôi,(2005),112 min,8.2,****,"88,004",#235,The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980.
203,Sherlock Jr.,(1924),45 min,8.2,****,"52,096",$0.98M,"A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch."
204,Vikram Vedha,(2017),147 min,8.2,****,"47,298",%^%^%^,"Vikram, a no-nonsense police officer, accompanied by Simon, his partner, is on the hunt to capture Vedha, a smuggler and a murderer. Vedha tries to change Vikram's life, which leads to a conflict."
205,Uri: The Surgical Strike,(2019),138 min,8.2,****,"66,538",$4.19M,"Indian army special forces execute a covert operation, avenging the killing of fellow army men at their base by a terrorist group."
206,Umberto D.,(1952),89 min,8.2,92        ,"26,717",$0.07M,An elderly man and his dog struggle to survive on his government pension in Rome.
207,Bhaag Milkha Bhaag,(2013),186 min,8.2,****,"69,640",$1.63M,"The truth behind the ascension of Milkha Singh, who was scarred by of the India-Pakistan partition."
208,Paan Singh Tomar,(2012),135 min,8.2,****,"36,980",$0.04M,"The story of Paan Singh Tomar, an Indian athlete and seven-time national steeplechase champion who becomes one of the most feared dacoits in Chambal Valley after his retirement."
209,The Exorcist,(1973),122 min,8.1,81        ,"419,416",$232.91M,"When a teenage girl is possessed by a mysterious entity, her mother seeks the help of two priests to save her daughter."
210,Người Giúp Việc,(2011),146 min,8.1,62        ,"470,895",$169.71M,"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis."
211,Lần Theo Dấu Vết,(2013),153 min,8.1,70        ,"741,486",$61.00M,"When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts."
212,Khách Sạn Đế Vương,(2014),99 min,8.1,88        ,"834,581",$59.10M,"A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge."
213,Cuộc Đua Lịch Sử,(2019),152 min,8.1,81        ,"414,564",$117.62M,American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.
214,Stand by Me,(1986),89 min,8.1,75        ,"415,659",$52.29M,"After the death of one of his friends, a writer recounts a childhood journey with his friends to find the body of a missing boy."
215,Max Điên: Con Đường Tử Thần,(2015),120 min,8.1,90        ,"1,026,048",$154.06M,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper and a drifter named Max."
216,Bá Tước Lebowski,(1998),117 min,8.1,71        ,"824,653",$17.50M,"Ultimate L.A. slacker Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for a rug ruined by debt collectors, enlisting his bowling buddies for help while trying to find the millionaire's missing wife."
217,Cướp Biển Vùng Caribê: Lời Nguyền Của Tàu Ngọc Trai Đen,(2003),143 min,8.1,63        ,"1,149,708",$305.41M,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead."
218,Người Hùng Không Súng,(2016),139 min,8.1,71        ,"546,337",$67.21M,"World War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor without firing a shot."
219,Cô Gái Mất Tích,(2014),149 min,8.1,79        ,"1,005,086",$167.77M,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent."
220,Tội Phạm Nhân Bản,(1982),117 min,8.1,84        ,"785,348",$32.87M,A blade runner must pursue and terminate four replicants who stole a ship in space and have returned to Earth to find their creator.
221,Hàm Cá Mập,(1975),124 min,8.1,87        ,"621,281",$260.00M,"When a killer shark unleashes chaos on a beach community off Cape Cod, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down."
222,Logan: Người Sói,(2017),137 min,8.1,77        ,"783,876",$226.28M,"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety."
223,Phù Thủy Xứ Oz,(1939),102 min,8.1,92        ,"409,029",$2.08M,"Young Dorothy Gale and her dog Toto are swept away by a tornado from their Kansas farm to the magical Land of Oz, and embark on a quest with three new friends to see the Wizard, who can return her to her home and fulfill the others' wishes."
224,Hãy Bắt Tôi Nếu Có Thể,(2002),141 min,8.1,75        ,"1,015,883",$164.62M,"Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit."
225,Tay Đấm Huyền Thoại,(1976),120 min,8.1,70        ,"596,084",$117.24M,A small-time Philadelphia boxer gets a supremely rare chance to fight the world heavyweight champion in a bout in which he strives to go the distance for his self-respect.
