,Movie Name,Year of Release,Watch Time,Movie Rating,Meatscore of movie,Votes,Gross,Description
775,Hững Hờ,(2011),98 min,7.7,52        ,"90,695",$0.07M,A substitute teacher who drifts from classroom to classroom finds a connection to the students and teachers during his latest assignment.
776,Trò Chơi Ma Quỷ,(1997),129 min,7.7,63        ,"407,740",$48.32M,"After a wealthy San Francisco banker is given an opportunity to participate in a mysterious game, his life is turned upside down as he begins to question if it might really be a concealed conspiracy to destroy him."
777,Màu tía,(1985),154 min,7.7,78        ,"89,984",$98.47M,A black Southern woman struggles to find her identity after suffering abuse from her father and others over four decades.
778,Ngày Huấn Luyện,(2001),122 min,7.7,69        ,"448,611",$76.63M,A rookie cop spends his first day as a Los Angeles narcotics officer with a rogue detective who isn't what he appears to be.
779,Công Chúa Tóc Mây,(2010),100 min,7.7,71        ,"467,150",$200.82M,"The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is."
780,11 Tên Cướp Thế Kỷ,(2001),116 min,7.7,74        ,"589,295",$183.42M,Danny Ocean and his ten accomplices plan to rob three Las Vegas casinos simultaneously.
781,Tột Cùng Sợ Hãi,(1996),129 min,7.7,47        ,"230,756",$56.12M,"An altar boy is accused of murdering a priest, and the truth is buried several layers deep."
782,Blue Velvet,(1986),120 min,7.7,76        ,"205,391",$8.55M,"The discovery of a severed human ear found in a field leads a young man on an investigation related to a beautiful, mysterious nightclub singer and a group of psychopathic criminals who have kidnapped her child."
783,Bá Tước Monte Cristo,(2002),131 min,7.7,61        ,"142,103",$54.23M,"A young man, falsely imprisoned by his jealous ""friend"", escapes and uses a hidden treasure to exact his revenge."
784,Harry Potter và Bảo Bối Tử Thần: Phần 1,(2010),146 min,7.7,65        ,"565,691",$295.98M,"As Harry, Ron and Hermione race against time and evil to destroy the Horcruxes, they uncover the existence of the three most powerful objects in the wizarding world: the Deathly Hallows."
785,Câu Chuyện Lego,(2014),100 min,7.7,83        ,"367,057",$257.76M,"An ordinary LEGO construction worker, thought to be the prophesied as ""special"", is recruited to join a quest to stop an evil tyrant from gluing the LEGO universe into eternal stasis."
786,Chuyện Tình Sau Núi,(2005),134 min,7.7,87        ,"366,535",$83.04M,Ennis and Jack are two shepherds who develop a sexual and emotional relationship. Their relationship becomes complicated when both of them get married to their respective girlfriends.
787,Tình Yêu Tìm Lại,(2012),122 min,7.7,81        ,"720,107",$132.09M,"After a stint in a mental institution, former teacher Pat Solitano moves back in with his parents and tries to reconcile with his ex-wife. Things get more challenging when Pat meets Tiffany, a mysterious girl with problems of her own."
788,Phán Quyết,(1972),109 min,7.7,80        ,"113,622",$7.06M,"Intent on seeing the Cahulawassee River before it's dammed and turned into a lake, outdoor fanatic Lewis Medlock takes his friends on a canoeing trip they'll never forget into the dangerous American back-country."
789,Siêu Điệp Viên 2: Quyền Lực Của Bourne,(2004),108 min,7.7,73        ,"472,443",$176.24M,"When Jason Bourne is framed for a CIA operation gone awry, he is forced to resume his former life as a trained assassin to survive."
790,Người Mohican Cuối Cùng,(1992),112 min,7.7,76        ,"176,742",$75.51M,Three trappers protect the daughters of a British Colonel in the midst of the French and Indian War.
791,Lạc Lối Ở Tokyo,(2003),102 min,7.7,91        ,"466,025",$44.59M,A faded movie star and a neglected young woman form an unlikely bond after crossing paths in Tokyo.
792,500 Ngày Yêu,(2009),95 min,7.7,76        ,"528,866",$32.39M,"After being dumped by the girl he believes to be his soulmate, hopeless romantic Tom Hansen reflects on their relationship to try and figure out where things went wrong and how he can win her back."
793,Chiến Dịch Sinh Tử,(2012),120 min,7.7,86        ,"623,507",$136.03M,"Acting under the cover of a Hollywood producer scouting a location for a science fiction film, a CIA agent launches a dangerous operation to rescue six Americans in Tehran during the U.S. hostage crisis in Iran in 1979."
794,Con Đường Diệt Vong,(2002),117 min,7.7,72        ,"275,205",$104.45M,"A mob enforcer's son in 1930s Illinois witnesses a murder, forcing him and his father to take to the road, and his father down a path of redemption and revenge."
795,Chuyến Tàu Tới Yuma,(2007),122 min,7.7,76        ,"319,397",$53.61M,A small-time rancher agrees to hold a captured outlaw who's awaiting a train to go to court in Yuma. A battle of wills ensues as the outlaw tries to psych out the rancher.
796,Y tu mamá también,(2001),106 min,7.7,89        ,"125,441",$13.62M,"In Mexico, two teenage boys and an attractive older woman embark on a road trip and learn a thing or two about life, friendship, sex, and each other."
797,Hamlet,(1996),242 min,7.7,****,"38,928",$4.41M,"Hamlet, Prince of Denmark, returns home to find his father murdered and his mother remarrying the murderer, his uncle. Meanwhile, war is brewing."
798,Rambo: Đổ Máu,(1982),93 min,7.7,61        ,"261,384",$47.21M,A veteran Green Beret is forced by a cruel Sheriff and his deputies to flee into the mountains and wage an escalating one-man war against his pursuers.
799,X-Men: Thế Hệ Thứ Nhất,(2011),131 min,7.7,65        ,"703,238",$146.41M,"In the 1960s, superpowered humans Charles Xavier and Erik Lensherr work together to find others like them, but Erik's vengeful pursuit of an ambitious mutant who ruined his life causes a schism to divide them."
800,Câu Chuyện Đồ Chơi 4,(2019),100 min,7.7,84        ,"260,531",$434.04M,"When a new toy called ""Forky"" joins Woody and the gang, a road trip alongside old and new friends reveals how big the world can be for a toy."
801,Người Chim hay (Công Dụng Không Ngờ Của Việc Kém Nổi Tiếng),(2014),119 min,7.7,87        ,"643,938",$42.34M,"A washed-up superhero actor attempts to revive his fading career by writing, directing, and starring in a Broadway production."
802,Bảy Tay Súng Huyền Thoại,(1960),128 min,7.7,74        ,"97,929",$4.91M,Seven gunfighters are hired by Mexican peasants to liberate their village from oppressive bandits.
803,Chỉ Vài Người Tốt,(1992),138 min,7.7,62        ,"272,268",$141.34M,Military lawyer Lieutenant Daniel Kaffee defends Marines accused of murder. They contend they were acting under orders.
804,Đổ Vỡ,(I) (2004),112 min,7.7,66        ,"441,823",$54.58M,"Los Angeles citizens with vastly separate lives collide in interweaving stories of race, loss and redemption."
805,Gã Thợ Máy,(2004),101 min,7.7,61        ,"399,747",$1.08M,An industrial worker who hasn't slept in a year begins to doubt his own sanity.
806,Chú bé mang pyjama sọc,(2008),94 min,7.7,55        ,"228,511",$9.03M,"Through the innocent eyes of Bruno, the eight-year-old son of the commandant at a German concentration camp, a forbidden friendship with a Jewish boy on the other side of the camp fence has startling and unexpected consequences."
807,Mr. Nobody,(2009),141 min,7.7,63        ,"238,416",$0.00M,"A boy stands on a station platform as a train is about to leave. Should he go with his mother or stay with his father? Infinite possibilities arise from this decision. As long as he doesn't choose, anything is possible."
808,As Good as It Gets,(1997),139 min,7.7,67        ,"306,517",$148.48M,"A single mother and waitress, a misanthropic author, and a gay artist form an unlikely friendship after the artist is assaulted in a robbery."
809,Apollo 13: Bí Ẩn Mặt Trăng,(I) (1995),140 min,7.7,77        ,"302,423",$173.84M,NASA must devise a strategy to return Apollo 13 to Earth safely after the spacecraft undergoes massive internal damage putting the lives of the three astronauts on board in jeopardy.
810,Nửa Đêm Ở Paris,(2011),94 min,7.7,81        ,"433,658",$56.82M,"While on a trip to Paris with his fiancée's family, a nostalgic screenwriter finds himself mysteriously going back to the 1920s every day at midnight."
811,Ráp-phờ Đập Phá,(2012),101 min,7.7,72        ,"434,915",$189.42M,"A video game villain wants to be a hero and sets out to fulfill his dream, but his quest brings havoc to the whole arcade where he lives."
812,Cuộc Chiến Không Trọng Lực,(2013),91 min,7.7,96        ,"839,038",$274.09M,Two astronauts work together to survive after an accident leaves them stranded in space.
813,Tình Yêu Của Gilbert Grape,(1993),118 min,7.7,73        ,"243,392",$9.17M,A young man in a small Midwestern town struggles to care for his mentally-disabled younger brother and morbidly obese mother while attempting to pursue his own happiness.
814,3 Kẻ Trốn Tù,(2000),107 min,7.7,69        ,"319,244",$45.51M,"In the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless lawman pursues them."
815,Sát Nhân Halloween,(1978),91 min,7.7,87        ,"287,865",$47.00M,"Fifteen years after murdering his sister on Halloween night 1963, Michael Myers escapes from a mental hospital and returns to the small town of Haddonfield, Illinois to kill again."
816,Phiên Tòa Chicago 7,(2020),129 min,7.7,76        ,"183,254",%^%^%^,"The story of 7 people on trial stemming from various charges surrounding the uprising at the 1968 Democratic National Convention in Chicago, Illinois."
817,En man som heter Ove,(2015),116 min,7.7,70        ,"62,682",$3.48M,"Ove, an ill-tempered, isolated retiree who spends his days enforcing block association rules and visiting his wife's grave, has finally given up on life just as an unlikely friendship develops with his boisterous new neighbors."
818,Súng Thần,(1999),108 min,7.7,44        ,"243,001",$0.03M,Two Irish Catholic brothers become vigilantes and wipe out Boston's criminal underworld in the name of God.
819,Ai Mưu Hại Thỏ Roger?,(1988),104 min,7.7,83        ,"207,266",$156.45M,A toon-hating detective is a cartoon rabbit's only hope to prove his innocence when he is accused of murder.
820,Thử Làm John Malkovich,(1999),113 min,7.7,90        ,"343,093",$22.86M,A puppeteer discovers a portal that leads literally into the head of movie star John Malkovich.
821,Sound of Metal,(2019),120 min,7.7,82        ,"136,014",%^%^%^,A heavy-metal drummer's life is thrown into freefall when he begins to lose his hearing.
822,Serpico,(1973),130 min,7.7,81        ,"127,510",$29.80M,An honest New York cop named Frank Serpico blows the whistle on rampant corruption in the force only to have his comrades turn against him.
823,Khi Lỗi Thuộc Về Những Vì Sao,(2014),126 min,7.7,69        ,"386,020",$124.87M,Two teenage cancer patients begin a life-affirming journey to visit a reclusive author in Amsterdam.
824,Lý Trí Và Tình Cảm,(1995),136 min,7.7,84        ,"119,768",$43.18M,"Rich Mr. Dashwood dies, leaving his second wife and her three daughters poor by the rules of inheritance. The two eldest daughters are the title opposites."
825,Dirty Harry,(1971),102 min,7.7,87        ,"161,185",$35.90M,"When a man calling himself ""the Scorpio Killer"" menaces San Francisco, tough-as-nails Police Inspector ""Dirty"" Harry Callahan is assigned to track down the crazed psychopath."
826,Star Trek 2: Cơn thịnh nộ của Khan,(1982),113 min,7.7,68        ,"124,853",$78.91M,"With the assistance of the Enterprise crew, Admiral Kirk must stop an old nemesis, Khan Noonien Singh, from using the life-generating Genesis Device as the ultimate weapon."
827,When Harry Met Sally...,(1989),95 min,7.7,76        ,"227,801",$92.82M,"Harry and Sally have known each other for years, and are very good friends, but they fear sex would ruin the friendship."
828,Thuyết Yêu Thương,(2014),123 min,7.7,71        ,"462,484",$35.89M,A look at the relationship between the famous physicist Stephen Hawking and his wife.
829,Donnie Brasco: Kẻ Nằm Vùng,(1997),127 min,7.7,76        ,"315,966",$41.91M,"An FBI undercover agent infiltrates the mob and finds himself identifying more with the mafia life, at the expense of his regular one."
830,Adaptation.,(2002),115 min,7.7,83        ,"196,654",$22.25M,A lovelorn screenwriter becomes desperate as he tries and fails to adapt 'The Orchid Thief' by Susan Orlean for the screen.
831,Những Kẻ Cướp Nhà Băng,(1967),111 min,7.7,86        ,"116,149",%^%^%^,"Bored waitress Bonnie Parker falls in love with an ex-con named Clyde Barrow and together they start a violent crime spree through the country, stealing cars and robbing banks."
832,Naked,(1993),131 min,7.7,85        ,"41,318",$1.77M,An unemployed Mancunian vents his rage on unsuspecting strangers as he embarks on a nocturnal London odyssey.
833,Star Trek: Chìm Trong Bóng Tối,(2013),132 min,7.7,72        ,"488,639",$228.78M,"After the crew of the Enterprise find an unstoppable force of terror from within their own organization, Captain Kirk leads a manhunt to a war-zone world to capture a one-man weapon of mass destruction."
834,Glengarry Glen Ross,(1992),100 min,7.7,82        ,"109,855",$10.73M,An examination of the machinations behind the scenes at a real estate office.
835,Dân Chơi,(1994),92 min,7.7,70        ,"226,904",$3.15M,"A day in the lives of two convenience clerks named Dante and Randal as they annoy customers, discuss movies, and play hockey on the store roof."
836,Philadelphia,(1993),125 min,7.7,66        ,"248,013",$77.32M,"When a man with HIV is fired by his law firm because of his condition, he hires a homophobic small time lawyer as the only willing advocate for a wrongful dismissal suit."
837,Fried Green Tomatoes,(1991),130 min,7.7,64        ,"77,604",$82.42M,A housewife who is unhappy with her life befriends an old lady at a nursing home and is enthralled by the tales she tells of people she used to know.
838,"South Park: Bigger, Longer & Uncut",(1999),81 min,7.7,73        ,"209,251",$52.04M,"When Stan Marsh and his friends go see an R-rated movie, they start cursing and their parents think that Canada is to blame."
839,Án Mạng Trong Tu Viện,(1986),130 min,7.7,54        ,"111,613",$7.15M,An intellectually nonconformist friar investigates a series of mysterious deaths in an isolated abbey.
840,Ordinary People,(1980),124 min,7.7,86        ,"54,210",$54.80M,"The accidental death of the older son of an affluent family deeply strains the relationships among the bitter mother, the good-natured father and the guilt-ridden younger son."
841,Kẻ Trộm Giấc Mơ,(2006),90 min,7.7,81        ,"87,224",$0.88M,"When a machine that allows therapists to enter their patients' dreams is stolen, all hell breaks loose. Only a young female therapist, Paprika, can stop it."
842,Badlands,(1973),94 min,7.7,93        ,"75,069",%^%^%^,"An impressionable teenage girl from a dead-end town, and her older greaser boyfriend, embark on a killing spree in the South Dakota Badlands."
843,Khu Phố Roma,(2018),135 min,7.7,96        ,"163,194",%^%^%^,A year in the life of a middle-class family's maid in Mexico City in the early 1970s.
844,La grande bellezza,(2013),141 min,7.7,86        ,"93,687",$2.85M,"Jep Gambardella has seduced his way through the lavish nightlife of Rome for decades, but after his 65th birthday and a shock from the past, Jep looks past the nightclubs and parties to find a timeless landscape of absurd, exquisite beauty."
845,Ngón Tay Vàng,(1964),110 min,7.7,87        ,"195,086",$51.08M,"While investigating a gold magnate's smuggling, James Bond uncovers a plot to contaminate the Fort Knox gold reserve."
846,The French Connection,(1971),104 min,7.7,94        ,"127,175",$15.63M,"A pair of NYPD detectives in the Narcotics Bureau stumble onto a heroin smuggling ring based in Marseilles, but stopping them and capturing their leaders proves an elusive goal."
847,Đây Là Nước Anh,(2006),101 min,7.7,86        ,"124,776",$0.33M,"A young boy becomes friends with a gang of skinheads. Friends soon become like family, and relationships will be pushed to the very limit."
848,Hoàng Đế Cuối Cùng,(1987),163 min,7.7,76        ,"106,888",$43.98M,"Dramatization of China's last emperor, Puyi."
849,Con Số May Mắn,(2006),110 min,7.7,53        ,"318,475",$22.49M,"A case of mistaken identity lands Slevin into the middle of a war being plotted by two of the city's most rival crime bosses. Under constant surveillance by Detective Brikowski and assassin Goodkat, he must get them before they get him."
850,Lật Ngược,(I) (2010),90 min,7.7,45        ,"93,230",$1.75M,Two eighth-graders start to have feelings for each other despite being total opposites.
851,Ray,(I) (2004),152 min,7.7,73        ,"151,586",$75.33M,"The story of the life and career of the legendary rhythm and blues musician Ray Charles, from his humble beginnings in the South, where he went blind at age seven, to his meteoric rise to stardom during the 1950s and 1960s."
852,Tuyệt Đỉnh Kung Fu,(2004),99 min,7.7,78        ,"143,866",$17.11M,"In Shanghai, China in the 1940s, a wannabe gangster aspires to join the notorious ""Axe Gang"" while residents of a housing complex exhibit extraordinary powers in defending their turf."
853,Billy Elliot,(2000),110 min,7.7,74        ,"138,149",$22.00M,A talented young boy becomes torn between his unexpected love of dance and the disintegration of his family.
854,Đi Tìm Miền Đất Hứa,(2004),106 min,7.7,67        ,"208,717",$51.68M,The story of Sir J.M. Barrie's friendship with a family who inspired him to create Peter Pan.
855,Malcolm X,(1992),202 min,7.7,73        ,"97,794",$48.17M,"Biographical epic of the controversial and influential Black Nationalist leader, from his early life and career as a small-time gangster, to his ministry as a member of the Nation of Islam."
856,Gió Nổi,(2013),126 min,7.7,83        ,"89,956",$5.21M,"A look at the life of Jiro Horikoshi, the man who designed Japanese fighter planes during World War II."
857,Miller's Crossing,(1990),115 min,7.7,66        ,"137,962",$5.08M,"Tom Reagan, an advisor to a Prohibition-era crime boss, tries to keep the peace between warring mobs but gets caught in divided loyalties."
858,The Verdict,(1982),129 min,7.7,77        ,"42,748",$54.00M,"An outcast, alcoholic Boston lawyer sees the chance to salvage his career and self-respect by taking a medical malpractice case to trial rather than settling."
859,Happiness,(1998),134 min,7.7,81        ,"71,946",$2.81M,"The lives of several individuals intertwine as they go about their lives in their own unique ways, engaging in acts which society as a whole might find disturbing in a desperate search for human connection."
860,Kubo và Sứ Mệnh Samurai,(2016),101 min,7.7,84        ,"133,162",$48.02M,A young boy named Kubo must locate a magical suit of armour worn by his late father in order to defeat a vengeful spirit from the past.
861,Chạy Đi Lola,(1998),81 min,7.7,77        ,"202,062",$7.27M,"After a botched money delivery, Lola has 20 minutes to come up with 100,000 Deutschmarks."
862,Giai Điệu Kỳ Diệu,(1940),124 min,7.7,96        ,"99,430",$76.41M,"A collection of animated interpretations of great works of Western classical music, ranging from the abstract to depictions of mythology and fantasy, and settings including the prehistoric, supernatural and sacred."
863,The Longest Day,(1962),178 min,7.7,75        ,"57,286",$39.10M,"The events of D-Day, told on a grand scale from both the Allied and German points of view."
864,Spoorloos,(1988),107 min,7.7,****,"40,760",%^%^%^,"Rex and Saskia, a young couple in love, are on vacation. They stop at a busy service station and Saskia is abducted. After three years and no sign of Saskia, Rex begins receiving letters from the abductor."
865,Belle de jour,(1967),100 min,7.7,****,"46,427",$0.03M,A frigid young housewife decides to spend her midweek afternoons as a prostitute.
866,"Tôi, Earl và Cô Bạn Hấp Hối",(2015),105 min,7.7,74        ,"134,401",$6.74M,"High schooler Greg, who spends most of his time making parodies of classic movies with his co-worker Earl, finds his outlook forever altered after befriending a classmate who has just been diagnosed with cancer."
867,Cuốn Sổ Đen,(2006),145 min,7.7,71        ,"78,258",$4.40M,"In the Nazi-occupied Netherlands during World War II, a Jewish singer infiltrates the regional Gestapo headquarters for the Dutch resistance."
868,The Dirty Dozen,(1967),150 min,7.7,73        ,"75,867",$45.30M,"During World War II, a rebellious U.S. Army Major is assigned a dozen convicted murderers to train and lead them into a mass assassination mission of German officers."
869,Kurenai no buta,(1992),94 min,7.7,83        ,"93,698",%^%^%^,"In 1930s Italy, a veteran World War I pilot is cursed to look like an anthropomorphic pig."
870,Dã Thú Một Quốc Gia,(2015),137 min,7.7,79        ,"83,761",$0.08M,"A drama based on the experiences of Agu, a child soldier fighting in the civil war of an unnamed African country."
871,Short Cuts,(1993),188 min,7.7,81        ,"46,015",$6.11M,The day-to-day lives of several suburban Los Angeles residents.
872,Đánh Thức Cuộc Đời,(2001),99 min,7.7,83        ,"65,465",$2.89M,A man shuffles through a dream meeting various people and discussing the meanings and purposes of the universe.
873,The Quiet Man,(1952),129 min,7.7,85        ,"40,324",$10.55M,"A retired American boxer returns to the village of his birth in 1920s Ireland, where he falls for a spirited redhead whose brother is contemptuous of their union."
874,Abre los ojos,(1997),119 min,7.7,****,"70,991",$0.37M,"A very handsome man finds the love of his life, but he suffers an accident and needs to have his face rebuilt by surgery after it is severely disfigured."
875,La planète sauvage,(1973),72 min,7.7,73        ,"33,605",$0.19M,"On a faraway planet where blue giants rule, oppressed humanoids rebel against their machine-like leaders."
876,Người Vô Danh Tính,(2010),119 min,7.7,****,"71,753",$0.01M,A quiet pawnshop keeper with a violent past takes on a drug-and-organ trafficking ring in hope of saving the child who is his only friend.
877,Nữ Hoàng Châu Phi,(1951),105 min,7.7,91        ,"80,966",$0.54M,"In WWI East Africa, a gin-swilling Canadian riverboat captain is persuaded by a strait-laced English missionary to undertake a trip up a treacherous river and use his boat to attack a German gunship."
878,Nebraska,(2013),115 min,7.7,86        ,"120,115",$17.65M,"An aging, booze-addled father makes the trip from Montana to Nebraska with his estranged son in order to claim a million-dollar Mega Sweepstakes Marketing prize."
879,Good Bye Lenin!,(2003),121 min,7.7,68        ,"148,959",$4.06M,"In 1990, to protect his fragile mother from a fatal shock after a long coma, a young man must keep her from learning that her beloved nation of East Germany as she knew it has disappeared."
880,Ondskan,(2003),113 min,7.7,61        ,"39,991",$0.02M,"A teenage boy expelled from school for fighting arrives at a boarding school where the systematic bullying of younger students is encouraged as a means to maintain discipline, and decides to fight back."
881,Key Largo,(1948),100 min,7.7,****,"42,305",%^%^%^,"A man visits his war buddy's family hotel and finds a gangster running things. As a hurricane approaches, the two end up confronting each other."
882,À bout de souffle,(1960),90 min,7.7,****,"84,405",$0.34M,"A small-time thief steals a car and impulsively murders a motorcycle policeman. Wanted by the authorities, he reunites with a hip American journalism student and attempts to persuade her to run away with him to Italy."
883,Invasion of the Body Snatchers,(1956),80 min,7.7,92        ,"52,007",%^%^%^,A small-town doctor learns that the population of his community is being replaced by emotionless alien duplicates.
884,Zulu,(1964),138 min,7.7,77        ,"40,736",%^%^%^,Outnumbered British soldiers do battle with Zulu warriors at Rorke's Drift.
885,Love and Death,(1975),85 min,7.7,89        ,"39,535",%^%^%^,"In czarist Russia, a neurotic soldier and his distant cousin formulate a plot to assassinate Napoleon."
886,Người Lạ Hoàn Hảo,(2016),96 min,7.7,****,"67,822",%^%^%^,"Seven long-time friends meet for dinner. They decide to share their text messages, emails and phone calls. Secrets are unveiled. Harmony trembles."
887,Kỷ Niệm Về Marnie,(2014),103 min,7.7,72        ,"43,280",$0.77M,"Due to 12 y.o. Anna's asthma, she's sent to stay with relatives of her guardian in the Japanese countryside. She likes to be alone, sketching. She befriends Marnie. Who is the mysterious, blonde Marnie."
888,La double vie de Véronique,(1991),98 min,7.7,86        ,"50,552",$2.00M,"Two parallel stories about two identical women; one living in Poland, the other in France. They don't know each other, but their lives are nevertheless profoundly connected."
889,Hoàng Tử Bé,(2015),108 min,7.7,70        ,"64,006",$1.34M,"A little girl lives in a very grown-up world with her mother, who tries to prepare her for it. Her neighbor, the Aviator, introduces the girl to an extraordinary world where anything is possible, the world of the Little Prince."
890,Xuân Quang Xạ Tiết,(1997),96 min,7.7,70        ,"31,426",$0.19M,A couple take a trip to Argentina but both men find their lives drifting apart in opposite directions.
891,Down by Law,(1986),107 min,7.7,75        ,"53,095",$1.44M,"Two men are framed and sent to jail, where they meet a murderer who helps them escape and leave the state."
892,Lạt Thủ Thần Thám,(1992),128 min,7.7,****,"51,983",%^%^%^,A tough-as-nails cop teams up with an undercover agent to shut down a sinister mobster and his crew.
893,Night on Earth,(1991),129 min,7.7,68        ,"62,556",$2.02M,An anthology of 5 different cab drivers in 5 American and European cities and their remarkable fares on the same eventful night.
894,Hành Trình Nam Mỹ,(2004),126 min,7.7,75        ,"102,818",$16.78M,The dramatization of a motorcycle road trip Che Guevara went on in his youth that showed him his life's calling.
895,Cape Fear,(1962),106 min,7.7,76        ,"30,292",%^%^%^,A lawyer's family is stalked by a man he once helped put in jail.
896,Mặt Sẹo,(1932),93 min,7.7,90        ,"29,015",%^%^%^,"An ambitious and nearly insane violent gangster climbs the ladder of success in the mob, but his weaknesses prove to be his downfall."
897,A Man for All Seasons,(1966),120 min,7.7,72        ,"35,779",$28.35M,"The story of Sir Thomas More, who stood up to King Henry VIII when the King rejected the Roman Catholic Church to obtain a divorce and remarry."
898,Wait Until Dark,(1967),108 min,7.7,81        ,"31,955",$17.55M,A recently blinded woman is terrorized by a trio of thugs while they search for a heroin-stuffed doll they believe is in her apartment.
899,Black Narcissus,(1947),101 min,7.7,86        ,"26,038",%^%^%^,"A group of nuns struggle to establish a convent in the Himalayas, while isolation, extreme weather, altitude, and culture clashes all conspire to drive the well-intentioned missionaries mad."
900,Hedwig and the Angry Inch,(2001),95 min,7.7,85        ,"36,407",$3.03M,A gender-queer punk-rock singer from East Berlin tours the U.S. with her band as she tells her life story and follows the former lover/band-mate who stole her songs.
901,The Broken Circle Breakdown,(2012),111 min,7.7,70        ,"41,954",$0.18M,"Elise and Didier fall in love at first sight, in spite of their differences. He talks, she listens. He's a romantic atheist, she's a religious realist. When their daughter becomes seriously ill, their love is put on trial."
902,Forushande,(2016),124 min,7.7,85        ,"62,264",$2.40M,"While Ranaa and Emad, a married couple, are participating in a production of ""Death of a Salesman,"" she is assaulted in their new home, which leaves him determined to find the perpetrator over his wife's traumatized objections."
903,Les triplettes de Belleville,(2003),80 min,7.7,91        ,"55,634",$7.00M,"When her grandson is kidnapped during the Tour de France, Madame Souza and her beloved pooch Bruno team up with the Belleville Sisters--an aged song-and-dance team from the days of Fred Astaire--to rescue him."
904,Cuộc Nổi Loạn Trên Tàu Caine,(1954),124 min,7.7,63        ,"28,618",$21.75M,"When a U.S. Naval captain shows signs of mental instability that jeopardizes the ship, the first officer relieves him of command and faces court martial for mutiny."
905,Cô Gái Vượt Thời Gian,(2006),98 min,7.7,66        ,"68,193",%^%^%^,"A high-school girl named Makoto acquires the power to travel back in time, and decides to use it for her own personal benefits. Little does she know that she is affecting the lives of others just as much as she is her own."
906,Sự Thật Chết Người,(2008),122 min,7.7,80        ,"110,040",$18.59M,A dramatic retelling of the post-Watergate television interviews between British talk-show host David Frost and former president Richard Nixon.
907,Yume,(1990),119 min,7.7,****,"27,502",$1.96M,A collection of tales based upon eight of director Akira Kurosawa's recurring dreams.
908,Das Experiment,(2001),120 min,7.7,60        ,"94,878",$0.14M,"For two weeks, 20 male participants are hired to play prisoners and guards in a prison. The ""prisoners"" have to follow seemingly mild rules, and the ""guards"" are told to retain order without using physical violence."
909,Adams æbler,(2005),94 min,7.7,51        ,"52,291",$0.00M,A neo-Nazi sentenced to community service at a church clashes with the blindly devoted minister.
910,Lời Thú Tội,(2010),106 min,7.7,****,"40,439",%^%^%^,A psychological thriller of a grieving mother turned cold-blooded avenger with a twisty master plan to pay back those who were responsible for her daughter's death.
911,Cô Bé Dũng Cảm,(2017),94 min,7.7,78        ,"26,776",$0.31M,"In 2001, Afghanistan is under the control of the Taliban. When her father is captured, a determined young girl disguises herself as a boy in order to provide for her family."
912,Hương Vị Anh Đào,(1997),95 min,7.7,80        ,"33,084",$0.31M,An Iranian man drives his car in search of someone who will quietly bury him under a cherry tree after he commits suicide.
913,The Magdalene Sisters,(2002),114 min,7.7,83        ,"27,762",$4.89M,Three young Irish women struggle to maintain their spirits while they endure dehumanizing abuse as inmates of a Magdalene Sisters Asylum.
914,In America,(2002),105 min,7.7,76        ,"43,663",$15.54M,A family of Irish immigrants adjust to life on the mean streets of Hell's Kitchen while also grieving the death of a child.
915,Khu Vực an Ninh Chung,(2000),110 min,7.7,58        ,"32,046",%^%^%^,"After a shooting incident at the North/South Korean border/DMZ leaves 2 North Korean soldiers dead, a neutral Swiss/Swedish team investigates, what actually happened."
916,Sau Hôn Nhân,(2006),120 min,7.7,78        ,"35,660",$0.41M,"A manager of an orphanage in India is sent to Copenhagen, Denmark, where he discovers a life-altering family secret."
917,Hana-bi,(1997),103 min,7.7,****,"31,645",$0.23M,"Nishi leaves the police in the face of harrowing personal and professional difficulties. Spiraling into depression, he makes questionable decisions."
918,Jules et Jim,(1962),105 min,7.7,97        ,"42,900",%^%^%^,Decades of a love triangle concerning two friends and an impulsive woman.
919,The Purple Rose of Cairo,(1985),82 min,7.7,75        ,"52,947",$10.63M,"In 1935 New Jersey, a movie character walks off the screen and into the real world."
920,Le passé,(2013),130 min,7.7,85        ,"49,781",$1.33M,"An Iranian man deserts his French wife and her two children to return to his homeland. Meanwhile, his wife starts up a new relationship, a reality her husband confronts upon his wife's request for a divorce."
921,The Muppet Christmas Carol,(1992),85 min,7.7,64        ,"64,021",$27.28M,The Muppets present their own touching rendition of Charles Dickens' classic tale.
922,Zelig,(1983),79 min,7.7,****,"42,964",$11.80M,"""Documentary"" about a man who can look and act like whoever he's around, and meets various famous people."
923,Auf der anderen Seite,(2007),122 min,7.7,85        ,"32,719",$0.74M,A Turkish man travels to Istanbul to find the daughter of his father's former girlfriend.
924,Harry Potter và Hòn Đá Phù Thủy,(2001),152 min,7.6,65        ,"806,254",$317.58M,"An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world."
925,Chuyện Ngày Xưa Ở... Hollywood,(2019),161 min,7.6,83        ,"773,634",$142.50M,A faded television actor and his stunt double strive to achieve fame and success in the final years of Hollywood's Golden Age in 1969 Los Angeles.
