,Movie Name,Year of Release,Watch Time (min),Genre,Movie Rating,Metascore,Votes,Gross ($M),Description
88,Jersey,2019,157,Drama,8.5,,19650,,A failed cricketer decides to revive his cricketing career in his late 30's despite everyone being skeptical of his ability to do so.
89,The Best of Youth,2003,366,Drama,8.5,89        ,22533,0.27,An Italian epic that follows the lives of two brothers from the 1960s to the 2000s.
90,96,2018,158,Drama,8.5,,32983,,Two high school sweethearts meet at a reunion after 22 years and reminisce about their past.
91,Le Trou,1960,131,Crime,8.5,,19003,0.03,Distrust and uncertainty arise when four long-term inmates cautiously induct a new prisoner into their elaborate prison-break scheme.
92,The World of Apu,1959,105,Drama            ,8.5,,15388,0.02,This final installment in Satyajit Ray's Apu Trilogy follows Apu's life as an orphaned adult aspiring to be a writer.
93,Visaaranai,2015,117,Crime,8.5,,11288,,Four labourers are tortured by the police to confess to a theft they have not committed.
94,Kumbalangi Nights,2019,135,Comedy,8.5,,15677,,"The film revolves around four brothers who share a love-hate relationship with each other. Their relationship progresses to another level when Saji, Boney, and Franky decide to help Bobby stand by his love."
95,Sarpatta Parambarai,2021,173,Action,8.5,,23770,,"When Sarpatta Parambarai is challenged to a do-or-die match, will Kabilan, a young labourer, put on the gloves himself and lead his clan to victory, or be dissuaded by his disapproving mother and dangerous politics?"
96,Anbe Sivam,2003,160,Adventure,8.5,,23953,,"Two men, one young and arrogant, the other damaged - physically but not spiritually - by life, are thrown together by circumstances, and find that they are in some ways bound together by fate."
97,The Girl with the Red Scarf,1977,90,Drama,8.5,,16349,,"Story of a dilemma between a woman's love and her logic. Asya, a young girl with a strict mother, meets Ilyas who is a womanizer city man, and they quickly fall in love. They get over the ...                See full summary »"
98,Zübük,1980,88,Comedy,8.5,,10317,,"Zübük gets expelled from the political party that he is a member of, due to corruption. The journalist Yasar wants to make a news story about his case and investigates Zübük's doings. Yasar...                See full summary »"
99,Thalapathi,1991,157,Action,8.5,,12679,,An orphan named Surya raised in a slum befriends a good crime boss named Devaraj and works for him. Their existence is threatened when a new honest district collector arrives.
100,Çöpçüler Krali,1977,80,Comedy,8.5,,20705,,"Going through his daily routine in a stereotypical neighborhood, a street cleaner falls in love with a charwoman. Unfortunately for him, so does his boss."
101,Gol Maal,1979,120,Comedy,8.5,,19488,,A man's simple lie to secure his job escalates into more complex lies when his orthodox boss gets suspicious.
102,Mr. Muhsin,1987,119,Comedy,8.5,,11198,,An ingenuous countryman Ali Nazik migrates to Istanbul and meets producer Muhsin Kanadikirik to have his first album.
103,Operation 'Y' & Other Shurik's Adventures,1965,95,Comedy,8.5,,13960,,"Three stories about Shurik - a young student. He fights against criminals, falls in love, confuses apartments, passes exams - he lives after all."
104,Guardians of the Galaxy Vol. 3,2023,150,Action,8.4,66        ,15758,,"Still reeling from the loss of Gamora, Peter Quill rallies his team to defend the universe and one of their own - a mission that could mean the end of the Guardians if not successful."
105,Avengers: Endgame,2019,181,Action,8.4,78        ,1172166,858.37,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe."
106,Joker,2019,122,Crime,8.4,59        ,1345113,335.45,"The rise of Arthur Fleck, from aspiring stand-up comedian and pariah to Gotham's clown prince and leader of the revolution."
107,Spider-Man: Into the Spider-Verse,2018,117,Animation,8.4,87        ,558157,190.24,"Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities."
108,Raiders of the Lost Ark,1981,115,Action,8.4,85        ,983297,248.16,"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before the Nazis can obtain its awesome powers."
109,Your Name.,2016,106,Animation,8.4,79        ,283903,5.02,"Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?"
110,Aliens,1986,137,Action,8.4,84        ,730453,85.16,"Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring."
111,Avengers: Infinity War,2018,149,Action,8.4,68        ,1116092,678.82,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.
112,Django Unchained,2012,165,Drama,8.4,81        ,1593009,162.81,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi."
113,The Shining,1980,146,Drama,8.4,66        ,1045272,44.02,"A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future."
114,Oldboy,2003,120,Action,8.4,77        ,593797,0.71,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days."
115,The Dark Knight Rises,2012,164,Action,8.4,78        ,1735986,448.14,"Eight years after the Joker's reign of chaos, Batman is coerced out of exile with the assistance of the mysterious Selina Kyle in order to defend Gotham City from the vicious guerrilla terrorist Bane."
116,Memento,2000,113,Mystery,8.4,81        ,1259832,25.54,A man with short-term memory loss attempts to track down his wife's murderer.
117,Come and See,1985,142,Drama,8.4,,85070,,"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II."
118,Braveheart,1995,178,Biography,8.4,68        ,1053207,75.60,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.
119,Das Boot,1981,149,Drama,8.4,86        ,255038,11.49,A German U-boat stalks the frigid waters of the North Atlantic as its young crew experience the sheer terror and claustrophobic life of a submariner in World War II.
120,WALL·E,2008,98,Animation,8.4,95        ,1138834,223.81,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind."
121,Coco,2017,105,Animation,8.4,81        ,530409,209.73,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer."
122,Amadeus,1984,160,Biography,8.4,88        ,408682,51.97,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was deeply jealous of Mozart's talent and claimed to have murdered him."
123,The Lives of Others,2006,137,Drama,8.4,89        ,395749,11.29,"In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives."
124,Capernaum,2018,126,Drama            ,8.4,75        ,94446,1.66,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect."
125,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,95,Comedy,8.4,97        ,499075,0.28,"An insane American general orders a bombing attack on the Soviet Union, triggering a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop."
126,Sunset Blvd.,1950,110,Drama,8.4,94        ,226235,,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.
127,3 Idiots,2009,170,Comedy,8.4,67        ,409530,6.53,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots""."
128,Witness for the Prosecution,1957,116,Crime,8.4,76        ,128997,8.18,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.
129,Paths of Glory,1957,88,Drama,8.4,90        ,201645,,"After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them."
130,The Great Dictator,1940,125,Comedy,8.4,,228061,0.29,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.
