,Movie_Name,Year_of_Release,C_Rating,Watch_Time_(min),Genre,Movie_Rating,Metascore,Votes,Gross_($M),Description
792,Lost in Translation,2003,R,102,"Comedy, Drama            ",7.7,91        ,466113,44.59,A faded movie star and a neglected young woman form an unlikely bond after crossing paths in Tokyo.
793,500 Days of Summer,2009,PG-13,95,"Comedy, Drama, Romance            ",7.7,76        ,528999,32.39,"After being dumped by the girl he believes to be his soulmate, hopeless romantic Tom Hansen reflects on their relationship to try and figure out where things went wrong and how he can win her back."
794,Argo,2012,R,120,"Biography, Drama, Thriller            ",7.7,86        ,623596,136.03,"Acting under the cover of a Hollywood producer scouting a location for a science fiction film, a CIA agent launches a dangerous operation to rescue six Americans in Tehran during the U.S. hostage crisis in Iran in 1979."
795,Road to Perdition,2002,R,117,"Crime, Drama, Thriller            ",7.7,72        ,275240,104.45,"A mob enforcer's son in 1930s Illinois witnesses a murder, forcing him and his father to take to the road, and his father down a path of redemption and revenge."
796,3:10 to Yuma,2007,R,122,"Action, Crime, Drama            ",7.7,76        ,319446,53.61,A small-time rancher agrees to hold a captured outlaw who's awaiting a train to go to court in Yuma. A battle of wills ensues as the outlaw tries to psych out the rancher.
797,And Your Mother Too,2001,R,106,Drama            ,7.7,89        ,125456,13.62,"In Mexico, two teenage boys and an attractive older woman embark on a road trip and learn a thing or two about life, friendship, sex, and each other."
798,Hamlet,1996,PG-13,242,Drama            ,7.7,,38933,4.41,"Hamlet, Prince of Denmark, returns home to find his father murdered and his mother remarrying the murderer, his uncle. Meanwhile, war is brewing."
799,First Blood,1982,R,93,"Action, Adventure, Thriller            ",7.7,61        ,261450,47.21,A veteran Green Beret is forced by a cruel Sheriff and his deputies to flee into the mountains and wage an escalating one-man war against his pursuers.
800,X-Men: First Class,2011,PG-13,131,"Action, Sci-Fi            ",7.7,65        ,703355,146.41,"In the 1960s, superpowered humans Charles Xavier and Erik Lensherr work together to find others like them, but Erik's vengeful pursuit of an ambitious mutant who ruined his life causes a schism to divide them."
801,Toy Story 4,2019,G,100,"Animation, Adventure, Comedy            ",7.7,84        ,260607,434.04,"When a new toy called ""Forky"" joins Woody and the gang, a road trip alongside old and new friends reveals how big the world can be for a toy."
802,Birdman or (The Unexpected Virtue of Ignorance),2014,R,119,"Comedy, Drama            ",7.7,87        ,644025,42.34,"A washed-up superhero actor attempts to revive his fading career by writing, directing, and starring in a Broadway production."
803,The Magnificent Seven,1960,Approved,128,"Action, Adventure, Drama            ",7.7,74        ,97955,4.91,Seven gunfighters are hired by Mexican peasants to liberate their village from oppressive bandits.
804,A Few Good Men,1992,R,138,"Drama, Thriller            ",7.7,62        ,272331,141.34,Military lawyer Lieutenant Daniel Kaffee defends Marines accused of murder. They contend they were acting under orders.
805,Crash,2004,R,112,"Crime, Drama, Thriller            ",7.7,66        ,441867,54.58,"Los Angeles citizens with vastly separate lives collide in interweaving stories of race, loss and redemption."
806,The Machinist,2004,R,101,"Drama, Thriller            ",7.7,61        ,399825,1.08,An industrial worker who hasn't slept in a year begins to doubt his own sanity.
807,The Boy in the Striped Pajamas,2008,PG-13,94,"Drama, War            ",7.7,55        ,228578,9.03,"Through the innocent eyes of Bruno, the eight-year-old son of the commandant at a German concentration camp, a forbidden friendship with a Jewish boy on the other side of the camp fence has startling and unexpected consequences."
808,Mr. Nobody,2009,R,141,"Drama, Fantasy, Romance            ",7.7,63        ,238451,0.00,"A boy stands on a station platform as a train is about to leave. Should he go with his mother or stay with his father? Infinite possibilities arise from this decision. As long as he doesn't choose, anything is possible."
809,As Good as It Gets,1997,PG-13,139,"Comedy, Drama, Romance            ",7.7,67        ,306582,148.48,"A single mother and waitress, a misanthropic author, and a gay artist form an unlikely friendship after the artist is assaulted in a robbery."
810,Apollo 13,1995,PG,140,"Adventure, Drama, History            ",7.7,77        ,302489,173.84,NASA must devise a strategy to return Apollo 13 to Earth safely after the spacecraft undergoes massive internal damage putting the lives of the three astronauts on board in jeopardy.
